一包	挺小的	NEU	豆皮	5	分量	2021-09-28 18:00:47	labeled
一罐	很小	NEU	豆皮	3	包装	2016-06-11 09:29:18	labeled
三黑和核桃红枣	很好喝	POS	芝麻	5	口感	2020-02-26 12:49:53	labeled
下午	才送到	NEG	梨	2	物流	2020-07-17 09:32:57	labeled
描述	完全一致	POS	梨	4	其它	2021-07-10 14:51:35	labeled
与宣传	大不同	NEG	蜜柚	1	其它	2017-12-11 12:34:18	labeled
与描述	有较大出入	NEG	猕猴桃	5	其它	2021-08-27 17:42:02	labeled
东东	很好	POS	棉花	5	其它	2017-02-07 23:20:21	labeled
东北玉米	不好吃	NEG	玉米	3	口感	2020-04-05 16:38:39	labeled
东北米颗粒	饱满	POS	小麦	3	其它	2015-05-17 23:00:37	labeled
东西	很好	POS	大米	5	品质	2019-11-10 10:29:15	labeled
东西	很一般	NEU	棉花	4	品质	2021-08-17 23:14:02	labeled
东西	很好	POS	花生	3	品质	2016-08-26 13:05:23	labeled
东西	不咋滴	NEG	花生	2	品质	2021-05-24 06:14:30	labeled
东西	有点失望	NEG	花生	2	品质	2021-05-24 06:14:30	labeled
东西	很好	POS	李子	3	其它	2021-03-19 20:53:56	labeled
东西	受潮的	NEG	李子	1	其它	2020-08-29 22:25:17	labeled
东西	不是新鲜的	NEG	李子	1	其它	2020-08-29 22:25:17	labeled
东西	很一般	NEG	李子	3	品质	2020-09-05 21:55:50	labeled
东西	很好	POS	竹笋	5	品质	2021-01-13 00:27:32	labeled
东西	还行	POS	竹笋	5	品质	2020-04-27 11:51:34	labeled
东西	还行	POS	洋芋	3	其它	2019-04-11 07:21:33	labeled
东西	新鲜	POS	竹荪	5	品质	2021-09-19 17:34:14	labeled
东西	还可以	POS	竹荪	4	品质	2021-05-19 00:01:59	labeled
东西	不错	POS	姜	4	其它	2021-05-07 00:17:13	labeled
东西	还可以	POS	姜	4	其它	2020-02-28 19:41:48	labeled
东西	不错	POS	姜	3	品质	2014-12-29 11:24:47	labeled
东西	很喜欢	POS	竹荪	5	品质	2021-09-04 19:30:28	labeled
东西	很好吃	POS	荸荠	5	口感	2021-01-30 00:12:48	labeled
东西	不错	POS	竹荪	3	其它	2018-10-28 21:53:35	labeled
东西	还不错	POS	竹荪	5	品质	2021-07-26 10:30:20	labeled
东西	坏的	NEG	竹荪	1	品质	2018-08-25 07:01:08	labeled
东西	还不错	POS	竹荪	2	品质	2018-09-09 14:08:43	labeled
东西	非常不错	POS	竹荪	5	品质	2017-07-24 09:31:09	labeled
东西	很好	POS	竹荪	5	品质	2017-07-24 09:31:09	labeled
东西	还可以	NEU	竹荪	2	品质	2021-03-12 04:02:20	labeled
东西	还行	POS	竹笋	5	品质	2020-04-27 11:52:12	labeled
东西	好	POS	枇杷	5	品质	2021-09-08 12:49:58	labeled
东西	一般	NEG	枇杷	1	品质	2019-10-01 11:49:45	labeled
东西	好吃甜	POS	荸荠	3	口感	2020-02-22 20:24:31	labeled
东西	不错	POS	荸荠	4	其它	2020-03-13 04:11:56	labeled
东西	好用	POS	竹荪	5	品质	2018-02-05 17:37:13	labeled
东西	质量也不错	POS	芝麻	3	品质	2020-01-05 10:19:04	labeled
东西	可以	POS	竹荪	1	品质	2018-02-02 23:34:17	labeled
东西	觉得不错	POS	竹荪	5	品质	2021-07-29 14:44:08	labeled
东西	特别的差	NEG	竹荪	1	品质	2020-05-14 07:59:26	labeled
东西	不能吃	NEG	竹荪	1	品质	2020-05-14 07:59:26	labeled
东西	一般	NEG	竹荪	2	品质	2020-05-16 20:14:07	labeled
东西	不多	NEG	梨	4	分量	2021-02-20 10:21:58	labeled
东西	很好	POS	茶叶	5	品质	2020-07-23 09:37:40	labeled
东西	很新鲜	POS	茶叶	5	品质	2020-07-23 09:37:40	labeled
东西	还可以	POS	茶叶	5	其它	2021-09-12 21:05:10	labeled
东西	还行	POS	荸荠	2	品质	2018-12-25 18:26:00	labeled
