80000
1003	10208	2
1929	19018	1
1497	288	2
1199	5	4
94	1182	6
691	7382	5
4123	18764	5
104	458	1
89	3066	5
30	7055	3
1315	2647	8
97	8861	2
601	35	8
4984	812	8
10	1967	1
199	282	1
441	3225	5
255	3178	7
1567	976	0
5063	1096	6
48	10426	5
106	2412	0
36	6654	3
30	14625	3
63	95	8
1039	5505	1
63	47	1
323	324	3
17008	17009	0
1310	195	4
2342	164	0
171	3492	8
21	261	1
30	321	8
1647	13	1
113	550	2
12695	47	8
120	321	6
111	11016	6
2176	13	3
56	2498	6
167	2607	4
1094	1071	1
111	2359	8
161	966	2
120	3133	6
569	91	6
1805	1197	7
600	465	6
6631	59	3
16182	184	4
363	16814	4
23350	13	8
36	13238	3
87	1867	2
89	1399	5
89	784	5
48	1454	5
173	23251	3
638	3272	3
25	18	7
650	651	4
10	2005	8
181	405	6
42	23578	4
223	1603	8
120	1636	6
593	8862	5
600	1189	6
5329	956	4
751	1997	1
42	16007	4
161	59	3
48	261	1
1019	21800	4
152	1147	1
299	20491	8
436	240	8
600	294	6
74	137	8
9766	95	3
4434	47	3
4790	4791	8
2858	10033	4
123	7417	1
76	3913	6
12433	356	1
4	314	0
474	213	5
8	157	1
248	8209	4
5072	5	6
558	4746	3
30	13944	3
63	553	8
7751	17731	4
1578	84	8
28	18	1
63	501	1
13	42	3
42	384	4
542	1385	4
817	1941	7
56	949	6
21	95	1
6378	6379	3
936	1086	8
30	195	2
106	8421	0
104	1332	1
335	59	4
30	10527	3
167	3492	4
42	7400	4
199	2067	4
3542	3543	8
30	1624	3
891	1967	8
152	90	1
106	1026	8
892	3940	4
4478	294	6
30	198	3
1646	3940	4
42	16022	4
106	4730	0
23	8399	3
181	108	6
4231	1339	8
181	170	6
6444	13	1
223	13	4
42	19496	4
1094	7591	1
1771	1356	1
466	4329	4
323	1399	8
751	3928	2
30	8014	8
319	47	2
547	321	1
56	2729	6
23	5062	3
2441	95	4
23	11722	3
123	9867	1
23	3556	3
2643	10707	3
23	2301	3
7714	2292	8
120	294	6
12233	141	3
1566	71	8
42	24202	4
765	901	3
614	1399	5
4	8764	0
42	139	4
21	342	3
120	732	6
53	224	7
2	182	6
28	39	8
235	178	6
910	14566	6
2305	18	6
542	1773	4
76	2077	4
104	5062	1
58	4360	3
443	47	3
74	86	8
63	178	6
28	6131	8
23	19776	3
309	20368	1
123	8363	8
4348	903	5
74	7991	8
341	27	1
42	5304	4
1072	59	1
140	2325	8
1094	70	1
134	20514	3
426	13	1
76	111	6
3597	951	1
875	95	8
203	9957	2
515	1651	6
42	17387	4
10839	195	2
355	796	1
42	6174	4
1019	39	4
834	526	2
42	918	4
127	302	7
623	4642	8
1805	11902	7
2537	2351	5
42	95	3
8759	4027	1
498	216	8
28	571	8
94	108	6
42	4731	4
8	6286	1
48	2351	5
23550	3499	8
619	2728	4
23	2726	3
123	15781	1
30	867	3
1021	108	8
294	7832	6
56	47	6
87	2530	2
657	519	3
498	47	8
18925	124	2
2817	929	4
167	2734	4
614	297	5
1917	451	2
426	17924	1
241	27	7
2889	18	6
56	405	6
89	1967	5
106	95	8
492	18536	5
30	12943	3
106	935	0
1458	467	4
36	1357	3
955	4382	4
1053	39	3
1732	294	6
7094	15611	8
482	95	0
12682	11644	8
1094	1013	8
87	2529	2
42	6566	4
56	261	6
42	6062	4
4425	22778	1
87	4552	8
48	14641	5
1282	288	3
7276	2027	8
104	15043	3
241	4414	7
441	70	1
36	378	3
437	4651	6
30	3687	3
42	200	4
87	3506	2
2397	10320	2
8854	4770	4
2199	1182	4
1351	10678	5
803	610	6
2052	177	8
696	767	6
30	16152	3
1771	453	1
30	1930	3
23736	13	4
319	354	2
1578	20508	8
656	2743	1
1353	59	1
745	8255	1
106	16211	0
76	19714	4
607	1952	3
30	560	3
78	2422	7
76	580	1
6640	47	1
16633	16634	4
369	2077	4
455	485	3
3632	157	1
696	236	6
17786	321	8
891	2124	2
76	224	6
111	95	6
30	2164	1
638	9847	1
3620	13	4
657	15948	1
74	75	8
3640	164	0
10	192	1
208	342	3
87	18206	2
42	5038	4
56	294	1
327	6271	8
63	2542	1
42	22359	4
23	730	3
42	884	4
1137	20214	8
23	10728	3
299	1944	4
104	205	1
8	2368	1
866	16749	6
2098	2099	3
1854	3887	1
2407	5755	2
30	5401	3
21	1780	8
56	21635	6
5213	5226	8
1228	23	3
10795	65	3
218	18	8
10	519	1
42	1735	4
4	3401	0
856	1755	8
319	18027	2
335	20186	4
558	509	8
21	5987	8
1003	22436	8
42	9096	4
447	195	8
936	837	8
7638	6632	0
747	456	4
111	1220	6
36	1117	3
2858	1147	1
691	4441	5
1933	8486	4
9405	148	4
455	224	4
235	1096	6
917	39	8
8997	3232	7
846	59	8
437	157	1
106	137	0
1039	281	8
10697	18	6
241	22712	7
42	6516	4
127	4604	8
6280	7446	6
56	12011	6
1249	195	8
3009	1971	7
42	11278	4
3594	2642	3
235	1439	0
23	1469	3
769	362	8
104	1147	8
981	18194	0
319	13	2
361	3938	2
3159	3498	6
447	20560	5
30	4441	1
8	91	1
436	19537	8
161	22167	1
78	18	7
76	2830	6
834	5722	2
319	873	2
7208	524	1
4423	47	3
319	70	2
42	15882	4
4537	4538	3
42	4440	4
436	393	1
9595	1967	1
42	854	4
979	1117	4
42	2218	4
42	2954	4
28	378	8
89	2613	5
42	11760	4
644	884	8
42	6855	4
2107	479	1
5934	13	7
1734	439	8
203	4104	2
42	391	4
56	229	6
63	688	1
2789	177	2
4	1215	0
2544	47	3
30	13122	3
48	4546	5
76	378	6
623	3885	8
76	12230	6
56	1765	6
10	3652	8
7929	76	6
155	405	8
87	6063	2
3946	47	8
436	105	8
540	2582	5
1263	1909	8
2744	95	1
23841	23842	1
498	13	3
235	216	8
140	290	8
106	20302	0
28	394	1
25	940	7
97	261	3
160	987	1
623	20	8
123	153	3
452	5	7
140	4239	8
42	937	4
5710	1117	4
1929	636	1
42	17133	4
58	95	3
1837	47	4
5548	148	8
104	551	1
1458	90	1
820	484	1
775	8416	1
106	156	8
672	4546	5
23	13647	3
87	2267	2
56	294	6
902	903	5
1282	15008	3
42	1237	4
1802	47	3
706	39	1
132	4546	5
87	473	2
1805	4414	7
53	13	7
20733	288	1
2311	95	2
447	575	1
3749	47	8
8	4415	1
2342	785	0
299	5974	8
2419	302	6
89	762	5
104	485	4
42	281	4
53	90	7
97	378	0
42	13831	4
373	302	8
8	153	1
8	987	1
111	4094	6
63	688	1
957	636	1
1039	484	1
7638	14502	6
23	370	3
58	2106	3
40	8729	8
25	4878	7
42	15524	4
23	1418	3
42	2714	4
492	2168	0
21	29	1
820	733	1
30	405	3
8	13752	1
111	2015	6
5790	302	6
657	14077	1
203	11479	2
152	12994	1
250	2263	3
106	4503	0
1646	157	4
30	4178	3
21	170	1
482	157	0
7836	13	1
6	362	8
4	1090	0
140	4220	8
106	3401	0
5626	13	8
11173	1274	5
441	10563	8
875	20436	1
155	736	8
123	2774	2
56	1587	6
42	302	4
805	13590	1
301	47	1
30	271	8
6605	47	1
16704	13	3
623	2988	8
2419	253	6
28	8571	8
3116	95	1
48	2673	5
42	13194	4
23	524	3
1282	3605	3
614	1952	5
638	1202	3
5057	391	3
48	448	5
56	3881	6
111	1085	6
30	1356	3
3168	406	4
30	419	8
981	982	0
23	15451	3
2397	956	8
8	2494	1
327	306	3
8	9	1
8	13167	1
10998	1925	0
21	8208	4
23	1807	3
447	45	5
111	2616	6
426	157	1
955	7046	4
106	871	0
623	157	8
23	7108	3
17421	17422	0
373	1293	7
5586	11313	2
1094	484	0
85	16356	1
19755	13	8
76	186	6
42	606	4
1019	12275	4
89	809	5
1053	1439	0
30	17336	3
1654	13	1
23	17191	3
16507	47	3
7974	5124	4
63	1071	1
5254	857	4
10	7750	1
42	200	3
3724	5	8
123	6171	1
775	2188	1
775	784	1
111	4948	6
106	935	0
106	20049	0
1224	3857	1
10542	17100	6
161	2793	5
87	9867	2
614	5493	5
2036	20296	0
104	688	1
1771	1472	1
23	17476	3
42	13423	4
42	11768	4
403	70	8
8	551	8
40	12675	8
40	865	8
4	740	0
161	1860	3
9506	423	4
56	3133	6
106	2738	0
97	6889	2
74	13947	8
22462	177	8
1019	39	4
30	2369	3
657	170	4
751	21305	1
18584	13	4
619	911	6
745	1361	3
167	95	4
23	484	3
76	4906	6
8	3156	1
42	13087	4
630	302	6
30	23522	3
644	1455	8
123	23120	1
123	6553	1
42	10594	4
23	386	3
42	551	4
1003	484	0
619	13	6
1602	3683	8
76	2209	6
56	253	6
203	15238	2
161	22454	5
614	1526	5
42	6974	4
152	5627	1
23	699	3
97	3456	8
23	18994	3
6788	52	4
430	723	4
30	126	8
5103	6805	1
1266	951	1
106	854	0
7766	141	3
106	5425	0
30	1339	5
6840	245	3
104	2627	8
415	95	1
2281	105	8
1534	47	1
436	995	8
462	13	7
63	551	8
466	1293	4
261	8265	3
1053	662	0
1053	5162	0
558	95	3
132	519	5
8	673	1
8936	9212	1
1434	1435	3
2424	8	1
106	15376	0
21	2473	1
25	13	8
2	964	6
2635	354	1
1080	17010	4
373	141	8
104	4770	1
42	931	4
2876	2877	6
1933	2893	4
5698	178	2
2396	18	6
1666	929	8
10382	5443	8
106	11384	0
299	205	1
4694	27	8
2204	18815	1
235	570	6
203	14672	2
8	389	1
16846	1676	1
5539	675	4
30	10128	3
788	884	1
106	20698	0
623	22541	3
2419	1508	6
20628	7816	1
629	253	8
19	3904	4
30	1321	3
42	302	4
301	294	6
623	21976	8
5570	1785	4
8	2677	1
38	47	8
42	1284	4
30	3278	3
743	314	0
132	240	1
87	22857	2
1080	14705	2
3638	753	3
30	3261	3
76	3093	6
42	1124	4
19439	9	1
4	356	0
492	13	0
355	2893	8
1137	21598	8
2397	1807	8
745	4736	5
42	11201	4
482	314	0
19334	378	1
89	1967	5
1104	39	1
3974	1967	1
104	11076	3
106	13381	0
2175	10426	1
447	1974	5
97	10263	2
614	2945	5
369	192	4
3597	11684	1
161	5	1
76	22395	6
56	178	6
1987	224	8
10	39	1
167	669	4
208	27	8
123	14340	3
23	3180	3
106	70	3
2941	380	1
958	47	4
4593	164	0
12714	13726	8
11665	47	1
42	3683	4
25	3322	7
30	1807	3
42	1983	4
76	270	6
403	170	3
21	4406	2
248	216	4
